source_id,source_album,source_artist,source_score,source_year1,source_year2,target_id,target_album,target_artist,target_score,target_year1,target_year2,target_rank,cosine_sim,source_year_master,target_year_master,source_score_cut,target_score_cut
17486,selling my soul,masta killa,5.2,2012.0,,20043,a better tomorrow,wu-tang clan,5.9,2014.0,,1,0.9909932928686945,2012.0,2014.0,Bad,Bad
17521,peep: the aprocalypse,pro era,6.9,2012.0,,18276,summer knights,joey bada$$,6.8,2013.0,,1,0.9964817341514326,2012.0,2013.0,Good,Good
17525,trouble man: heavy is the head,t.i.,5.0,2012.0,,18562,b.o.a.t.s ii: me time,2 chainz,6.2,2013.0,,1,0.9959990904340086,2012.0,2013.0,Bad,Bad
17477,finally rich,chief keef,7.5,2012.0,,20281,sorry 4 the weight,chief keef,7.1,2015.0,,1,0.9917632455191857,2012.0,2015.0,Good,Good
17477,finally rich,chief keef,7.5,2012.0,,20502,almighty dp,chief keef,7.8,2015.0,,2,0.990473401554745,2012.0,2015.0,Good,Great
17391,o.n.i.f.c.,wiz khalifa,4.8,2012.0,,21565,khalifa,wiz khalifa,5.1,2016.0,,2,0.9934061070042499,2012.0,2016.0,Bad,Bad
17441,life ain't no joke,lil durk,6.5,2012.0,,20807,living legend,gunplay,6.5,2015.0,,1,0.9911451587922713,2012.0,2015.0,Bad,Bad
17441,life ain't no joke,lil durk,6.5,2012.0,,17760,duflocka rant 2,waka flocka flame,7.1,2013.0,,2,0.9903918531426024,2012.0,2013.0,Bad,Good
17294,vicious lies and dangerous rumors,big boi,6.1,2012.0,,20762,lucky 7,statik selektah,5.0,2015.0,,1,0.9944999743281526,2012.0,2015.0,Bad,Bad
17482,duality,captain murphy,8.0,2012.0,,19968,run the jewels 2,run the jewels,9.0,2014.0,,1,0.9922329692218285,2012.0,2014.0,Great,Great
17456,black pleasure,cities aviv,6.1,2012.0,,18933,come to life,cities aviv,7.3,2014.0,,2,0.9888526105785956,2012.0,2014.0,Bad,Good
17301,reloaded,roc marciano,8.1,2012.0,,18879,marci beaucoup,roc marciano,6.8,2013.0,,1,0.9934899789761026,2012.0,2013.0,Great,Good
17352,wiki93 ep,ratking,5.8,2012.0,,18733,the marshall mathers lp 2,eminem,4.7,2013.0,,1,0.9935109779882453,2012.0,2013.0,Bad,Bad
17352,wiki93 ep,ratking,5.8,2012.0,,20762,lucky 7,statik selektah,5.0,2015.0,,2,0.9921399292271038,2012.0,2015.0,Bad,Bad
17251,wild water kingdom,heems,7.2,2012.0,,18727,blue chips 2,"action bronson, party supplies",8.0,2013.0,,1,0.9885727127566124,2012.0,2013.0,Good,Great
17251,wild water kingdom,heems,7.2,2012.0,,19272,word o.k.,kool a.d.,6.7,2014.0,,2,0.9885109036233405,2012.0,2014.0,Good,Good
17214,we don't even live here,p.o.s.,5.7,2012.0,,20915,detroit's son,guilty simpson,6.0,2015.0,,1,0.9942804449507668,2012.0,2015.0,Bad,Bad
17375,rare chandeliers,action bronson,7.2,2012.0,,18727,blue chips 2,"action bronson, party supplies",8.0,2013.0,,1,0.996121475452701,2012.0,2013.0,Good,Great
17350,cosmic angel: the illuminati prince/ss,mykki blanco,6.8,2012.0,,20048,ferg forever,a$ap ferg,6.4,2014.0,,2,0.9922262117041545,2012.0,2014.0,Good,Bad
17397,trap god,gucci mane,7.2,2012.0,,18847,the state vs. radric davis ii: the caged bird sings,gucci mane,5.6,2013.0,,2,0.9944085719905594,2012.0,2013.0,Good,Bad
17315,dreams and nightmares,meek mill,7.4,2012.0,,20778,dreams worth more than money,meek mill,7.4,2015.0,,1,0.9958861350582897,2012.0,2015.0,Good,Good
17253,"good kid, m.a.a.d city",kendrick lamar,9.5,2012.0,,20556,marauding in paradise,jazz cartier,7.3,2015.0,,1,0.9948148741845005,2012.0,2015.0,Great,Good
17250,cee lo's magic moment,cee-lo green,5.9,2012.0,,22719,merry christmas lil mama,"chance the rapper, jeremih",8.1,2016.0,,1,0.9676591205494842,2012.0,2016.0,Bad,Great
17250,cee lo's magic moment,cee-lo green,5.9,2012.0,,22218,telefone,noname,8.0,2016.0,,2,0.9486714810540469,2012.0,2016.0,Bad,Great
17119,numbers,mellowhype,6.7,2012.0,,19612,insa,mellowhype,6.6,2014.0,,1,0.9949743518086762,2012.0,2014.0,Good,Good
17074,first of a living breed,homeboy sandman,7.1,2012.0,,19201,so it goes,ratking,7.5,2014.0,,1,0.9917742245240139,2012.0,2014.0,Good,Good
17074,first of a living breed,homeboy sandman,7.1,2012.0,,18407,cassette 3: the marion morrison mixtape,jonwayne,6.9,2013.0,,2,0.990237234301362,2012.0,2013.0,Good,Good
17216,no love deep web,death grips,8.2,2012.0,,18407,cassette 3: the marion morrison mixtape,jonwayne,6.9,2013.0,,1,0.9848115094996062,2012.0,2013.0,Great,Good
17235,baby face killa,freddie gibbs,8.2,2012.0,,18272,esgn,freddie gibbs,6.9,2013.0,,1,0.9971647280160094,2012.0,2013.0,Great,Good
17148,food & liquor ii: the great american rap album pt. 1,lupe fiasco,6.8,2012.0,,20043,a better tomorrow,wu-tang clan,5.9,2014.0,,2,0.9901729873867698,2012.0,2014.0,Good,Bad
17228,salute me or shoot me 4: banned from america,waka flocka flame,6.7,2012.0,,17760,duflocka rant 2,waka flocka flame,7.1,2013.0,,1,0.9935029900809574,2012.0,2013.0,Good,Good
17159,dedication 4,lil wayne,5.0,2012.0,,17802,i am not a human being ii,lil wayne,3.9,2013.0,,1,0.9971618382301215,2012.0,2013.0,Bad,Bad
17070,lords never worry,a$ap mob,4.9,2012.0,,17505,longlivea$ap,a$ap rocky,8.5,2013.0,,1,0.9965422552936898,2012.0,2013.0,Bad,Great
17092,based on a t.r.u. story,2 chainz,4.5,2012.0,,18562,b.o.a.t.s ii: me time,2 chainz,6.2,2013.0,,1,0.9950552330296825,2012.0,2013.0,Bad,Bad
